Group,Subgroup,Product,CatagoryAll,Category1,Category2,Category3,ProductID,ProductName,Volumn,CurrentPrice,FullPrice,Description,Specific,Refund
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B8%95%E0%B9%89%E0%B8%99%E0%B8%AB%E0%B8%AD%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2-%E0%B9%80%E0%B8%88%E0%B9%8A%E0%B8%AB%E0%B8%87%E0%B8%AA%E0%B9%8C%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B8%9C%E0%B8%B1%E0%B8%81/e686fde2-ff10-4266-8aa1-cce5e038acd8,"ผัก
ผักใบ
ต้นหอม",ผัก,ผักใบ,ต้นหอม,"33,053",ต้นหอมไทย เจ๊หงส์ส่งผัก,1 กก./แพ็ค,,฿125.00,"ต้นหอมไทย เจ๊หงส์ส่งผัก 1 กก./แพ็ค ""คุณลักษณะปรับเปลี่ยนตามตลาด รับเคลมสินค้ากรณีเน่าเสียเท่านั้น""",คุณลักษณะปรับเปลี่ยนตามตลาด,รับเคลมสินค้ากรณีเน่าเสียเท่านั้น
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B8%9C%E0%B8%B1%E0%B8%81%E0%B8%81%E0%B8%A7%E0%B8%B2%E0%B8%87%E0%B8%95%E0%B8%B8%E0%B9%89%E0%B8%87/4ab88b87-672a-4ca0-b14b-f16b910da8d5,"ผัก
ผักใบ
ผักกวางตุ้ง",ผัก,ผักใบ,ผักกวางตุ้ง,"28,943",ผักกวางตุ้ง,1 กก./แพ็ค,,฿61.00,ผักกวางตุ้ง 1 กก./แพ็ค,,
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B8%9C%E0%B8%B1%E0%B8%81%E0%B8%9A%E0%B8%B8%E0%B9%89%E0%B8%87%E0%B8%88%E0%B8%B5%E0%B8%99-%E0%B9%80%E0%B8%88%E0%B9%8A%E0%B8%AB%E0%B8%87%E0%B8%AA%E0%B9%8C%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B8%9C%E0%B8%B1%E0%B8%81/a5612413-8f2a-46d2-be0b-bfcd9934202e,"ผัก
ผักใบ
ผักบุ้ง",ผัก,ผักใบ,ผักบุ้ง,"33,009",ผักบุ้งจีน เจ๊หงส์ส่งผัก,1 กก./แพ็ค,,฿35.00,ผักบุ้งจีน เจ๊หงส์ส่งผัก 1 กก./แพ็ค คุณลักษณะปรับเปลี่ยนตามตลาด รับเคลมสินค้ากรณีเน่าเสียเท่านั้น,คุณลักษณะปรับเปลี่ยนตามตลาด,รับเคลมสินค้ากรณีเน่าเสียเท่านั้น
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B8%9C%E0%B8%B1%E0%B8%81%E0%B8%9A%E0%B8%B8%E0%B9%89%E0%B8%87%E0%B8%88%E0%B8%B5%E0%B8%99/6aad5edb-cb65-4f8d-91bf-610f01098712,"ผัก
ผักใบ
ผักบุ้ง",ผัก,ผักใบ,ผักบุ้ง,"26,193",ผักบุ้งจีน,1 กก./แพ็ค,฿40.00,฿50.00,ผักบุ้งจีน ไม่คัดเกรด 1 กก./แพ็ค,,
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B8%9C%E0%B8%B1%E0%B8%81%E0%B8%9A%E0%B8%B8%E0%B9%89%E0%B8%87%E0%B8%88%E0%B8%B5%E0%B8%99-%E0%B8%84%E0%B8%B1%E0%B8%94%E0%B8%95%E0%B8%B1%E0%B8%94%E0%B9%81%E0%B8%95%E0%B9%88%E0%B8%87/5b9138bd-65a7-46fb-8798-9211049a429e,"ผัก
ผักใบ
ผักบุ้ง",ผัก,ผักใบ,ผักบุ้ง,"9,709",ผักบุ้งจีน คัดตัดแต่ง,1 กก./แพ็ค,,฿57.00,ผักบุ้งจีน 1 กก./แพ็ค,,
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B8%82%E0%B8%B6%E0%B9%89%E0%B8%99%E0%B8%89%E0%B9%88%E0%B8%B2%E0%B8%A2-%E0%B9%80%E0%B8%88%E0%B9%8A%E0%B8%AB%E0%B8%87%E0%B8%AA%E0%B9%8C%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B8%9C%E0%B8%B1%E0%B8%81/0c1d438d-ac40-40f1-bfc6-c8224c088267,"ผัก
ผักใบ
คื่นช่าย",ผัก,ผักใบ,คื่นช่าย,"33,066",ขึ้นฉ่าย เจ๊หงส์ส่งผัก,1 กก./แพ็ค,,฿140.00,"ขึ้นฉ่าย เจ๊หงส์ส่งผัก 1 กก./แพ็ค ""คุณลักษณะปรับเปลี่ยนตามตลาด รับเคลมสินค้ากรณีเน่าเสียเท่านั้น""",คุณลักษณะปรับเปลี่ยนตามตลาด,รับเคลมสินค้ากรณีเน่าเสียเท่านั้น
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B9%83%E0%B8%9A%E0%B8%87%E0%B8%B2%E0%B9%80%E0%B8%81%E0%B8%B2%E0%B8%AB%E0%B8%A5%E0%B8%B5/d337883c-31e6-4677-8d42-cdcb2f928954,"ผัก
ผักใบ
อื่นๆ",ผัก,ผักใบ,อื่นๆ,"10,622",ใบงาเกาหลี,10 ใบ/แพ็ค,,฿32.00,ใบงาเกาหลี 10 ใบ/แพ็ค,,
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B8%95%E0%B9%89%E0%B8%99%E0%B8%AB%E0%B8%AD%E0%B8%A1%E0%B8%8D%E0%B8%B5%E0%B9%88%E0%B8%9B%E0%B8%B8%E0%B9%88%E0%B8%99%E0%B9%83%E0%B8%9A%E0%B8%AA%E0%B8%B1%E0%B9%89%E0%B8%99-%E0%B8%84%E0%B8%B1%E0%B8%94%E0%B8%95%E0%B8%B1%E0%B8%94%E0%B9%81%E0%B8%95%E0%B9%88%E0%B8%87-%E0%B8%A2%E0%B8%B2%E0%B8%A7%E0%B9%84%E0%B8%A1%E0%B9%88%E0%B9%80%E0%B8%81%E0%B8%B4%E0%B8%99-30-%E0%B8%8B%E0%B8%A1./073c7ea5-dc9c-4311-9c79-4b9966609467,"ผัก
ผักใบ
ต้นหอม",ผัก,ผักใบ,ต้นหอม,"20,153",ต้นหอมญี่ปุ่นใบสั้น คัดตัดแต่ง ยาวไม่เกิน 30 ซม.,250 กรัม/แพ็ค,,฿43.00,ต้นหอมญี่ปุ่นใบสั้น ยาวไม่เกิน 30 ซม. (ตัดแต่ง) 250 กรัม/แพ็ค,,
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B8%82%E0%B8%B6%E0%B9%89%E0%B8%99%E0%B8%89%E0%B9%88%E0%B8%B2%E0%B8%A2-%E0%B9%80%E0%B8%88%E0%B9%8A%E0%B8%AB%E0%B8%87%E0%B8%AA%E0%B9%8C%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B8%9C%E0%B8%B1%E0%B8%81/f44f1858-2bbc-4c09-b6dd-a6b2fa6b2fd0,"ผัก
ผักใบ
คื่นช่าย",ผัก,ผักใบ,คื่นช่าย,"33,065",ขึ้นฉ่าย เจ๊หงส์ส่งผัก,500 กรัม/แพ็ค,,฿72.00,"ขึ้นฉ่าย เจ๊หงส์ส่งผัก 500 กรัม/แพ็ค ""คุณลักษณะปรับเปลี่ยนตามตลาด รับเคลมสินค้ากรณีเน่าเสียเท่านั้น""",คุณลักษณะปรับเปลี่ยนตามตลาด,รับเคลมสินค้ากรณีเน่าเสียเท่านั้น
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B8%95%E0%B9%89%E0%B8%99%E0%B8%AB%E0%B8%AD%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2-%E0%B9%80%E0%B8%88%E0%B9%8A%E0%B8%AB%E0%B8%87%E0%B8%AA%E0%B9%8C%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B8%9C%E0%B8%B1%E0%B8%81/13b81602-c208-4b5f-9dcb-326359ed742b,"ผัก
ผักใบ
ต้นหอม",ผัก,ผักใบ,ต้นหอม,"33,056",ต้นหอมไทย เจ๊หงส์ส่งผัก,500 กรัม/แพ็ค,,฿63.00,"ต้นหอมไทย เจ๊หงส์ส่งผัก 500 กรัม/แพ็ค ""คุณลักษณะปรับเปลี่ยนตามตลาด รับเคลมสินค้ากรณีเน่าเสียเท่านั้น""",คุณลักษณะปรับเปลี่ยนตามตลาด,รับเคลมสินค้ากรณีเน่าเสียเท่านั้น
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B8%9C%E0%B8%B1%E0%B8%81%E0%B8%81%E0%B8%A7%E0%B8%B2%E0%B8%87%E0%B8%95%E0%B8%B8%E0%B9%89%E0%B8%87%E0%B9%84%E0%B8%95%E0%B9%89%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%99-%E0%B9%80%E0%B8%88%E0%B9%8A%E0%B8%AB%E0%B8%87%E0%B8%AA%E0%B9%8C%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B8%9C%E0%B8%B1%E0%B8%81/715ae4d6-7b1b-4efa-a502-db49a46a8520,"ผัก
ผักใบ
ผักกวางตุ้ง",ผัก,ผักใบ,ผักกวางตุ้ง,"33,081",ผักกวางตุ้งไต้หวัน เจ๊หงส์ส่งผัก,1 กก./แพ็ค,,฿65.00,"ผักกวางตุ้งไต้หวัน เจ๊หงส์ส่งผัก 1 กก./แพ็ค ""คุณลักษณะปรับเปลี่ยนตามตลาด รับเคลมสินค้ากรณีเน่าเสียเท่านั้น""",คุณลักษณะปรับเปลี่ยนตามตลาด,รับเคลมสินค้ากรณีเน่าเสียเท่านั้น
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B8%95%E0%B9%89%E0%B8%99%E0%B8%AB%E0%B8%AD%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2-%E0%B8%84%E0%B8%B1%E0%B8%94%E0%B8%95%E0%B8%B1%E0%B8%94%E0%B9%81%E0%B8%95%E0%B9%88%E0%B8%87/b13003c8-3da9-4d52-9a65-4e45d3c385dc,"ผัก
ผักใบ
ต้นหอม",ผัก,ผักใบ,ต้นหอม,"20,691",ต้นหอมไทย คัดตัดแต่ง,100 กรัม/แพ็ค,,฿18.00,ต้นหอมไทย เบอร์สวย 100 กรัม/แพ็ค,,
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B8%84%E0%B8%B0%E0%B8%99%E0%B9%89%E0%B8%B2-%E0%B9%80%E0%B8%88%E0%B9%8A%E0%B8%AB%E0%B8%87%E0%B8%AA%E0%B9%8C%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B8%9C%E0%B8%B1%E0%B8%81/5dc265ba-64a9-4281-9750-3b8a64e1ec49,"ผัก
ผักใบ
คะน้า",ผัก,ผักใบ,คะน้า,"33,097",คะน้า เจ๊หงส์ส่งผัก,1 กก./แพ็ค,,฿30.00,"คะน้า เจ๊หงส์ส่งผัก 1 กก./แพ็ค ""คุณลักษณะปรับเปลี่ยนตามตลาด รับเคลมสินค้ากรณีเน่าเสียเท่านั้น""",คุณลักษณะปรับเปลี่ยนตามตลาด,รับเคลมสินค้ากรณีเน่าเสียเท่านั้น
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B9%82%E0%B8%AB%E0%B8%A3%E0%B8%B0%E0%B8%9E%E0%B8%B2-%E0%B8%84%E0%B8%B1%E0%B8%94%E0%B8%95%E0%B8%B1%E0%B8%94%E0%B9%81%E0%B8%95%E0%B9%88%E0%B8%87/2e77efc0-b0f8-4f90-aab3-38f8aa716fba,"ผัก
ผักใบ
โหระพา",ผัก,ผักใบ,โหระพา,"9,696",โหระพา คัดตัดแต่ง,250 กรัม/แพ็ค,,฿22.00,โหระพา คัดตัดแต่ง 250 กรัม/แพ็ค,,
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B9%82%E0%B8%AB%E0%B8%A3%E0%B8%B0%E0%B8%9E%E0%B8%B2-%E0%B9%80%E0%B8%88%E0%B9%8A%E0%B8%AB%E0%B8%87%E0%B8%AA%E0%B9%8C%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B8%9C%E0%B8%B1%E0%B8%81/61b634fe-93e1-429a-99c0-8a29e4be1a88,"ผัก
ผักใบ
โหระพา",ผัก,ผักใบ,โหระพา,"33,091",โหระพา เจ๊หงส์ส่งผัก,1 กก./แพ็ค,,฿55.00,"โหระพา เจ๊หงส์ส่งผัก 1 กก./แพ็ค ""คุณลักษณะปรับเปลี่ยนตามตลาด รับเคลมสินค้ากรณีเน่าเสียเท่านั้น""",คุณลักษณะปรับเปลี่ยนตามตลาด,รับเคลมสินค้ากรณีเน่าเสียเท่านั้น
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B8%9C%E0%B8%B1%E0%B8%81%E0%B8%8A%E0%B8%B5%E0%B9%84%E0%B8%97%E0%B8%A2%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%81-%E0%B8%84%E0%B8%B1%E0%B8%94%E0%B8%95%E0%B8%B1%E0%B8%94%E0%B9%81%E0%B8%95%E0%B9%88%E0%B8%87/2d68d456-1390-4aae-b447-bed2c03fa9a8,"ผัก
ผักใบ
ผักชี",ผัก,ผักใบ,ผักชี,"20,693",ผักชีไทยพร้อมราก คัดตัดแต่ง,100 กรัม/แพ็ค,฿25.00,฿29.00,ผักชีไทยพร้อมราก คัดตัดแต่ง 100 กรัม/แพ็ค,,
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B8%9C%E0%B8%B1%E0%B8%81%E0%B8%9A%E0%B8%B8%E0%B9%89%E0%B8%87%E0%B9%84%E0%B8%97%E0%B8%A2-%E0%B9%80%E0%B8%88%E0%B9%8A%E0%B8%AB%E0%B8%87%E0%B8%AA%E0%B9%8C%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B8%9C%E0%B8%B1%E0%B8%81/729b818e-47b5-4652-8ae7-d35b54031f28,"ผัก
ผักใบ
ผักบุ้ง",ผัก,ผักใบ,ผักบุ้ง,"33,014",ผักบุ้งไทย เจ๊หงส์ส่งผัก,4.5-5 กก./แพ็ค,,฿120.00,"ผักบุ้งไทย เจ๊หงส์ส่งผัก 4.5-5 กก./แพ็ค ""คุณลักษณะปรับเปลี่ยนตามตลาด รับเคลมสินค้ากรณีเน่าเสียเท่านั้น""",คุณลักษณะปรับเปลี่ยนตามตลาด,รับเคลมสินค้ากรณีเน่าเสียเท่านั้น
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B8%9C%E0%B8%B1%E0%B8%81%E0%B8%8A%E0%B8%B5%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%81-%E0%B9%80%E0%B8%88%E0%B9%8A%E0%B8%AB%E0%B8%87%E0%B8%AA%E0%B9%8C%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B8%9C%E0%B8%B1%E0%B8%81/832d9101-1a60-4548-a86b-750df15c940b,"ผัก
ผักใบ
ผักชี",ผัก,ผักใบ,ผักชี,"33,079",ผักชีพร้อมราก เจ๊หงส์ส่งผัก,500 กรัม/แพ็ค,,฿78.00,"ผักชีพร้อมราก เจ๊หงส์ส่งผัก 500 กรัม/แพ็ค ""คุณลักษณะปรับเปลี่ยนตามตลาด รับเคลมสินค้ากรณีเน่าเสียเท่านั้น""",คุณลักษณะปรับเปลี่ยนตามตลาด,รับเคลมสินค้ากรณีเน่าเสียเท่านั้น
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B8%82%E0%B8%B6%E0%B9%89%E0%B8%99%E0%B8%89%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B8%9D%E0%B8%A3%E0%B8%B1%E0%B9%88%E0%B8%87-%E0%B9%80%E0%B8%8B%E0%B9%80%E0%B8%A5%E0%B8%AD%E0%B8%A3%E0%B8%B5%E0%B9%88%E0%B8%99%E0%B8%AD%E0%B8%81/82620e50-ccb9-4994-b3e8-a13b00f27543,"ผัก
ผักใบ
คื่นช่าย",ผัก,ผักใบ,คื่นช่าย,"30,854",ขึ้นฉ่ายฝรั่ง/เซเลอรี่นอก,1 กก./แพ็ค,,฿72.00,ขึ้นฉ่ายฝรั่ง/เซเลอรี่นอก 1 กก./แพ็ค,,
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B8%84%E0%B8%B0%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94%E0%B8%81%E0%B8%A5%E0%B8%B2%E0%B8%87-%E0%B8%84%E0%B8%B1%E0%B8%94%E0%B8%95%E0%B8%B1%E0%B8%94%E0%B9%81%E0%B8%95%E0%B9%88%E0%B8%87/038b68f2-0b96-4ccd-9de6-8747a8d6a6a4,"ผัก
ผักใบ
คะน้า",ผัก,ผักใบ,คะน้า,"9,668",คะน้าขนาดกลาง คัดตัดแต่ง,1 กก./แพ็ค,,฿57.00,คะน้าขนาดกลาง 1 กก./แพ็ค,,
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B8%84%E0%B8%B0%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94%E0%B8%81%E0%B8%A5%E0%B8%B2%E0%B8%87-%E0%B8%84%E0%B8%B1%E0%B8%94%E0%B8%95%E0%B8%B1%E0%B8%94%E0%B9%81%E0%B8%95%E0%B9%88%E0%B8%87/0547a7ac-4fb0-45ae-97db-9a59fc12f81a,"ผัก
ผักใบ
คะน้า",ผัก,ผักใบ,คะน้า,"23,640",คะน้าขนาดกลาง คัดตัดแต่ง,250 กรัม/แพ็ค,,฿15.00,คะน้าขนาดกลาง 250 กรัม/แพ็ค,,
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B8%81%E0%B8%B0%E0%B9%80%E0%B8%9E%E0%B8%A3%E0%B8%B2/03e9d358-c1f9-4b2a-ace9-2a6e148e4cfe,"ผัก
ผักใบ
กะเพรา",ผัก,ผักใบ,กะเพรา,"26,189",กะเพรา,500 กรัม/แพ็ค,,฿34.00,กะเพรา ไม่คัดเกรด 500 กรัม/แพ็ค,,
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B8%81%E0%B8%A7%E0%B8%B2%E0%B8%87%E0%B8%95%E0%B8%B8%E0%B9%89%E0%B8%87%E0%B8%94%E0%B8%AD%E0%B8%81/0790b6b5-37db-495e-98cd-baf563aa9ce3,"ผัก
ผักใบ
ผักกวางตุ้ง",ผัก,ผักใบ,ผักกวางตุ้ง,"28,793",กวางตุ้งดอก,500 กรัม/แพ็ค,,฿20.00,กวางตุ้งดอก500 กรัม/แพ็ค,,
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B9%83%E0%B8%9A%E0%B8%A1%E0%B8%B0%E0%B8%81%E0%B8%A3%E0%B8%B9%E0%B8%94/04416d4f-05a3-4783-9bc2-724fa8f757a0,"ผัก
ผักใบ
อื่นๆ",ผัก,ผักใบ,อื่นๆ,"29,139",ใบมะกรูด,200 กรัม/แพ็ค,,฿23.00,ใบมะกรูด200 กรัม/แพ็ค,,
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B8%9C%E0%B8%B1%E0%B8%81%E0%B8%81%E0%B8%A7%E0%B8%B2%E0%B8%87%E0%B8%95%E0%B8%B8%E0%B9%89%E0%B8%87-%E0%B8%84%E0%B8%B1%E0%B8%94%E0%B8%95%E0%B8%B1%E0%B8%94%E0%B9%81%E0%B8%95%E0%B9%88%E0%B8%87/0ebf2658-9ab3-4035-a16d-4ab619136bba,"ผัก
ผักใบ
ผักกวางตุ้ง",ผัก,ผักใบ,ผักกวางตุ้ง,"23,650",ผักกวางตุ้ง คัดตัดแต่ง,250 กรัม/แพ็ค,,฿19.00,ผักกวางตุ้ง 250 กรัม/แพ็ค,,
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B9%80%E0%B8%84%E0%B8%A5-%E0%B8%84%E0%B8%B0%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B9%83%E0%B8%9A%E0%B8%AB%E0%B8%A2%E0%B8%B4%E0%B8%81%E0%B8%AA%E0%B8%B5%E0%B9%80%E0%B8%82%E0%B8%B5%E0%B8%A2%E0%B8%A7-%E0%B8%84%E0%B8%B1%E0%B8%94%E0%B8%95%E0%B8%B1%E0%B8%94%E0%B9%81%E0%B8%95%E0%B9%88%E0%B8%87/0e0c7c6e-6513-4ae3-9e0b-de09797defeb,"ผัก
ผักใบ
คะน้า",ผัก,ผักใบ,คะน้า,"19,246",เคล/คะน้าใบหยิกสีเขียว คัดตัดแต่ง,250 กรัม/แพ็ค,,฿45.00,เคล/คะน้าใบหยิกสีเขียว 250 กรัม/แพ็ค,,
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B8%81%E0%B8%B0%E0%B9%80%E0%B8%9E%E0%B8%A3%E0%B8%B2%E0%B9%81%E0%B8%94%E0%B8%87-%E0%B9%80%E0%B8%88%E0%B9%8A%E0%B8%AB%E0%B8%87%E0%B8%AA%E0%B9%8C%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B8%9C%E0%B8%B1%E0%B8%81/1474271e-c314-493a-89a4-d7f84d4c788a,"ผัก
ผักใบ
กะเพรา",ผัก,ผักใบ,กะเพรา,"33,050",กะเพราแดง เจ๊หงส์ส่งผัก,500 กรัม/แพ็ค,,฿32.00,"กะเพราแดง เจ๊หงส์ส่งผัก 500 กรัม/แพ็ค ""คุณลักษณะปรับเปลี่ยนตามตลาด รับเคลมสินค้ากรณีเน่าเสียเท่านั้น""",คุณลักษณะปรับเปลี่ยนตามตลาด,รับเคลมสินค้ากรณีเน่าเสียเท่านั้น
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B8%84%E0%B8%B0%E0%B8%99%E0%B9%89%E0%B8%B2-%E0%B9%80%E0%B8%88%E0%B9%8A%E0%B8%AB%E0%B8%87%E0%B8%AA%E0%B9%8C%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B8%9C%E0%B8%B1%E0%B8%81/0e4dd2bc-a5fd-4074-8188-25c3ba915751,"ผัก
ผักใบ
คะน้า",ผัก,ผักใบ,คะน้า,"33,095",คะน้า เจ๊หงส์ส่งผัก,500 กรัม/แพ็ค,,฿16.00,"คะน้า เจ๊หงส์ส่งผัก 500 กรัม/แพ็ค ""คุณลักษณะปรับเปลี่ยนตามตลาด รับเคลมสินค้ากรณีเน่าเสียเท่านั้น""",คุณลักษณะปรับเปลี่ยนตามตลาด,รับเคลมสินค้ากรณีเน่าเสียเท่านั้น
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B8%84%E0%B8%B0%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94%E0%B8%81%E0%B8%A5%E0%B8%B2%E0%B8%87-%E0%B8%84%E0%B8%B1%E0%B8%94%E0%B8%95%E0%B8%B1%E0%B8%94%E0%B9%81%E0%B8%95%E0%B9%88%E0%B8%87/0547a7ac-4fb0-45ae-97db-9a59fc12f81a,"ผัก
ผักใบ
คะน้า",ผัก,ผักใบ,คะน้า,"23,640",คะน้าขนาดกลาง คัดตัดแต่ง,250 กรัม/แพ็ค,,฿15.00,คะน้าขนาดกลาง 250 กรัม/แพ็ค,,
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B8%84%E0%B8%B0%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94%E0%B8%81%E0%B8%A5%E0%B8%B2%E0%B8%87-%E0%B8%84%E0%B8%B1%E0%B8%94%E0%B8%95%E0%B8%B1%E0%B8%94%E0%B9%81%E0%B8%95%E0%B9%88%E0%B8%87/038b68f2-0b96-4ccd-9de6-8747a8d6a6a4,"ผัก
ผักใบ
คะน้า",ผัก,ผักใบ,คะน้า,"9,668",คะน้าขนาดกลาง คัดตัดแต่ง,1 กก./แพ็ค,,฿57.00,คะน้าขนาดกลาง 1 กก./แพ็ค,,
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B8%9C%E0%B8%B1%E0%B8%81%E0%B8%8A%E0%B8%B5%E0%B9%83%E0%B8%9A%E0%B9%80%E0%B8%A5%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%A2-%E0%B8%9C%E0%B8%B1%E0%B8%81%E0%B8%8A%E0%B8%B5%E0%B8%9D%E0%B8%A3%E0%B8%B1%E0%B9%88%E0%B8%87-%E0%B9%80%E0%B8%88%E0%B9%8A%E0%B8%AB%E0%B8%87%E0%B8%AA%E0%B9%8C%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B8%9C%E0%B8%B1%E0%B8%81/0c475304-6725-4d0f-b1e6-ac0881689838,"ผัก
ผักใบ
ผักชีใบเลื่อย/ผักชีฝรั่ง",ผัก,ผักใบ,ผักชีใบเลื่อย/ผักชีฝรั่ง,"33,750",ผักชีใบเลื่อย/ผักชีฝรั่ง เจ๊หงส์ส่งผัก,1 กก./แพ็ค,,฿65.00,ผักชีใบเลื่อย/ผักชีฝรั่ง เจ๊หงส์ส่งผัก 1 กก./แพ็ค,คุณลักษณะปรับเปลี่ยนตามตลาด,รับเคลมสินค้ากรณีเน่าเสียเท่านั้น
https://www.freshket.co/market/vegetable,https://www.freshket.co/market/vegetable/leafy,https://www.freshket.co/product/detail/%E0%B8%9C%E0%B8%B1%E0%B8%81%E0%B9%82%E0%B8%82%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2-%E0%B8%9B%E0%B9%8A%E0%B8%AD%E0%B8%9A%E0%B8%AD%E0%B8%B2%E0%B8%A2-%E0%B8%9C%E0%B8%B1%E0%B8%81%E0%B8%82%E0%B8%A1/1164c783-d5ec-4b3f-86f8-b79052c91df5,"ผัก
ผักใบ
ผักโขม",ผัก,ผักใบ,ผักโขม,"29,349",ผักโขมไทย (ป๊อบอาย)/ผักขม,250 กรัม/แพ็ค,,฿20.00,ผักโขมไทย (ป๊อบอาย)/ผักขม250 กรัม/แพ็ค,,
